t,PR1,T1,R1,PR3,T3,R3,PR2,T2,R2,PR4,T4,R4,P,E2,E1,E3,E4
1478088000,2533.44,18.324,7.275,2342.81,18.596,5.581,2592.9,14.178,16.352,2796.72,15.468,60.426,15.721,7857.66,8100.46,7825.94,7943.75
1478044800,2532.17,18.439,7.178,2341.58,18.705,5.492,2595.44,14.144,16.545,2789.98,15.649,59.64,15.841,7852.83,8098.35,7824.78,7942.11
1478001600,2531.82,18.552,7.153,2341.25,18.812,5.469,2590.48,14.412,16.166,2777.45,15.895,58.178,15.929,7848.27,8095.78,7823.75,7940.31
1477958400,2531.56,18.658,7.135,2340.96,18.911,5.449,2588.99,14.573,16.051,2767.83,16.073,57.055,16.013,7843.44,8092.53,7822.37,7938.27
1477915200,2531.71,18.757,7.149,2341.13,19.005,5.462,2581.9,14.921,15.509,2768.75,16.018,57.162,16.119,7839.38,8090.77,7821.26,7936.72
1477872000,2531.84,18.849,7.161,2341.23,19.094,5.471,2576.29,15.207,15.079,2762.02,16.193,56.377,16.193,7835.76,8089.2,7820.16,7935.68
1477828800,2531.63,18.935,7.146,2341,19.177,5.455,2572.41,15.417,14.782,2753.33,16.504,55.365,16.144,7834.39,8088.89,7821.02,7936.59
1477785600,2531.7,19.012,7.153,2340.97,19.255,5.453,2569.09,15.617,14.528,2746.31,16.66,54.546,16.254,7830.96,8086.92,7820.18,7934.97
1477742400,2532.3,19.085,7.201,2341.2,19.332,5.471,2558.95,16.031,13.753,2734.44,16.836,53.16,16.282,7827.77,8083.25,7819.01,7933.01
1477699200,2531.36,19.164,7.13,2340.12,19.415,5.393,2558.71,16.075,13.735,2732.27,16.907,52.907,16.406,7824.15,8081.01,7817.72,7930.85
1477656000,2530.25,19.251,7.045,2338.91,19.504,5.305,2558.41,16.122,13.711,2731.23,16.919,52.786,16.527,7821.02,8079.34,7816.87,7929.4
1477612800,2528.98,19.346,6.948,2337.53,19.598,5.206,2561.18,16.066,13.922,2729.4,16.954,52.572,16.663,7817.24,8077.73,7815.41,7927.64
1477569600,2528.14,19.441,6.884,2336.57,19.693,5.136,2561.34,16.119,13.934,2723.91,17.009,51.931,16.663,7814.64,8076.76,7815.45,7927.8
1477526400,2527.37,19.543,6.826,2335.75,19.792,5.078,2557.78,16.296,13.662,2721.13,17.086,51.607,16.814,7810.54,8074.86,7814.8,7926.11
1477483200,2526.23,19.648,6.739,2334.67,19.891,5,2559.13,16.306,13.764,2717.49,17.254,51.183,16.906,7806.22,8073.27,7813.79,7924.76
1477440000,2525.57,19.751,6.69,2334.11,19.99,4.96,2557.79,16.435,13.661,2717.9,17.306,51.232,17.043,7802.27,8072.44,7813.42,7923.88
1477396800,2525.48,19.849,6.685,2334.06,20.082,4.957,2552.13,16.722,13.228,2710.21,17.513,50.335,17.01,7798.87,8070.98,7813.01,7923.59
1477353600,2525.03,19.941,6.651,2333.81,20.166,4.94,2550.29,16.864,13.087,2712.28,17.508,50.577,17.147,7794.69,8070.1,7812.62,7922.42
1477310400,2525.53,20.022,6.692,2334.36,20.239,4.981,2544.25,17.179,12.625,2705.94,17.555,49.836,17.26,7791.21,8068.58,7812.19,7921.54
1477267200,2526.42,20.088,6.763,2335.2,20.3,5.043,2537.11,17.531,12.078,2684.28,18.056,47.31,17.245,7788.23,8065.89,7811.86,7920.67
